datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,CUIABA,Cerrado,62,0,1,-15.503,-56.044,71
2020/09/11 17:00:00,AQUA_M-T,Brasil,PARANA,MANDIRITUBA,Mata Atlantica,0,0,0,-25.936,-49.335,5.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,115,0,1,-11.517,-50.68,14.7
2020/09/11 17:00:00,AQUA_M-T,Brasil,PARANA,TIJUCAS DO SUL,Mata Atlantica,0,0,0.2,-25.939,-49.133,8.2
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,CAMPO ALEGRE,Mata Atlantica,0,0,0,-26.088,-49.097,5.3
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,CHAPADA DA NATIVIDADE,Cerrado,109,0,1,-11.521,-47.837,33.1
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,CHAPADA DA NATIVIDADE,Cerrado,109,0,1,-11.523,-47.848,28
2020/09/11 17:00:00,AQUA_M-T,Brasil,PARANA,CORONEL DOMINGOS SOARES,Mata Atlantica,2,0,0.1,-26.266,-51.772,12.2
2020/09/11 17:00:00,AQUA_M-T,Brasil,PARANA,CORONEL DOMINGOS SOARES,Mata Atlantica,2,0,0.1,-26.268,-51.787,83.2
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,115,0,1,-11.526,-50.682,27.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,BELA VISTA DO TOLDO,Mata Atlantica,11,0.2,0.2,-26.31,-50.486,8.1
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,SAO BENTO DO SUL,Mata Atlantica,0,0,0,-26.32,-49.249,6
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,LAGOA DA CONFUSAO,Cerrado,115,0,1,-11.527,-50.691,45
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,CANOINHAS,Mata Atlantica,1,0,0,-26.398,-50.636,67.8
2020/09/11 17:00:00,AQUA_M-T,Brasil,PARANA,PALMAS,Mata Atlantica,3,0,0.1,-26.437,-51.57,120
2020/09/11 17:00:00,AQUA_M-T,Brasil,MATO GROSSO,UNIAO DO SUL,Amazonia,119,0,1,-11.567,-54.606,27.8
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,111,0,1,-11.661,-50.59,10.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,MONTE CASTELO,Mata Atlantica,1,0,0.1,-26.446,-50.263,17.8
2020/09/11 17:00:00,AQUA_M-T,Brasil,PARANA,PALMAS,Mata Atlantica,3,0,0.3,-26.515,-51.658,46.6
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,MATOS COSTA,Mata Atlantica,2,0,0.1,-26.537,-51.223,10.2
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,CACADOR,Mata Atlantica,3,0,0.3,-26.64,-51.246,10.3
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,107,0,1,-11.666,-50.562,19.2
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,SANTA CECILIA,Mata Atlantica,2,0.1,0.1,-26.665,-50.485,10.4
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,VARGEAO,Mata Atlantica,3,0,0.4,-26.725,-52.111,8.9
2020/09/11 17:00:00,AQUA_M-T,Brasil,TOCANTINS,FORMOSO DO ARAGUAIA,Cerrado,107,0,1,-11.667,-50.571,24.1
2020/09/11 17:00:00,AQUA_M-T,Brasil,SANTA CATARINA,LEBON REGIS,Mata Atlantica,4,0.1,0.1,-26.772,-50.62,34.9
